	Unnamed: 0	author	comment	origin	origin_status	english	category
166	167	Adriana Thomas	I love him 	Thinking Out Loud	1	TRUE	0
85	85	Adya Paramita Putri Pratama	To everyone who have family issues, who never feel loved, who have traumatic experiences and etc,just wanting to let you know that you are loved. You are worth it and the scars you have doesn't define you. You are you. You are loved by many. Please stay strong for a bit, stay strong for that new music you've been anticipating, stay strong for wanting to eat the meal you've always wanted, stay strong for your friends who loves you even if they don't show it right away.	Because Of You	1	TRUE	1
160	161	Agnieszka Owczarek	Love this song	Thinking Out Loud	1	TRUE	0
235	235	Ahal	People were not ready for this masterpiece 8 years ago..	Another Love	1	TRUE	0
38	38	Ahito1984	Whenever I hear that song, I remember the day I met my future wife in person. She put that music every morning, as a memento of her happiness and today as well... 9 years already...	Thinking Out Loud	1	TRUE	1
150	150	AJ🌈	Honestly, I think the saddest sound ever is the crack in someone's voice when they're on the verge of tears	Another Love	1	TRUE	0
22	22	Alaa Mohamed	"Whenever I listen to this masterpiece it takes me to my other world that is full of lots of pretty memories with my ex.
 The lyrics, sound, music and performing are so precious. "	Another Love	1	TRUE	1
172	172	Alberta BURNS	2022 still loving an listening.Kelly could say it any better.	Because Of You	1	TRUE	0
220	221	Alcantaro Firefox	Ed Sheeran's the type of singer to make you miss the relationship you never had	Thinking Out Loud	1	TRUE	1
63	63	Alessa Alpizar	What a beautiful song 	Another Love	1	TRUE	0
286	288	alex kipchumba	Timeless, deeply masterpiece	Thinking Out Loud	1	TRUE	0
14	14	Alex Lau	One of the most beautifully written song ever!	Because Of You	1	TRUE	0
105	105	Alex Nek	"Feels like yesterday, when I just started school or had my first girlfriend….haha 
Appreciate the time you have as right now it’s the time you have , yesterday was yesterday but tomorrow it’s a new day and we don’t know what might come with it, so appreciate 
Love "	All of Me	1	TRUE	1
293	293	Alexander Smith	I love this song I sing it when I’m sad I sing it iN school at my	Another Love	1	TRUE	0
71	71	Ali banat	I love this music 	Another Love	1	TRUE	0
276	280	Ali Gashi	POV 2023 and still listening to this masterclass	All of Me	1	TRUE	0
94	94	Āłî Ľõ	"This song is unforgettable 
John Legend never disappoints!"	All of Me	1	TRUE	0
231	232	Alicia Calvin	I wish l had someone to dance with.. this master piece makes me miss been in love	Thinking Out Loud	1	TRUE	1
84	84	All Good	Timeless!	Because Of You	1	TRUE	0
93	93	Allien Andrew	Oh kelly! You sung my heart out	Because Of You	1	TRUE	1
20	20	alyssa	It's been 5 years but i'm still listening to this masterpiece.	Thinking Out Loud	1	TRUE	0
45	45	Aman Shah 29	"Lyrics 
What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh

How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh

Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh"	All of Me	1	TRUE	-1
274	278	Amanda Finlaw	I live in the city where he was raised and I appreciate him helping with the grocery stores shutting down and him helping with the educational center john legend theater! He's a blessing to Springfield Ohio!	All of Me	1	TRUE	0
44	44	Amandla Ndao	"TRUE LOVE forever it's the POWER of life. You are the best . 
Thankfull John "	All of Me	1	TRUE	0
13	13	Amani patel	Because of you is such a good song because the lyrics are so deep and speak to such a large audience it doesn’t just have to be a family problem it can be a bully or someone or something who makes you feel less like yourself…it shows how these events can cause a person to become afraid, afraid of the world and pursuing their goals because of you because of this thing and these people that turned a person’s life upside down the emptiness and confusion the grief “my heart can’t possibly break because it wasn’t even whole to start with” such a deep line and such a deep song a person will never look at life through the same limelight	Because Of You	1	TRUE	1
127	127	Amar Ounz	Every time I listen to this song i feel helpless but hopeful	Another Love	1	TRUE	1
73	73	amar89	"""My heart can possibly break when it wasn't even whole to start with"".

This line, man.. this freaking line.

I feel so sorry for all of us who can relate to this song "	Because Of You	1	TRUE	-1
314	314	Amazing Pop	This song never gets old. No matter how much I listen, I never get bored.	Another Love	1	TRUE	0
42	42	Amwama Koloneria	Its 2023 and we are still listening. Happy new year guys	All of Me	1	TRUE	0
273	274	Amy	I just watched this mv and cried my eyes out, so heartbreaking! so emotional!	Because Of You	1	TRUE	1
266	268	Ana Love	Beautiful 	Thinking Out Loud	1	TRUE	0
91	91	Andra Carson	Im praying they stay together forever. 	All of Me	1	TRUE	0
118	118	Andrea White	Beautiful Song 	Thinking Out Loud	1	TRUE	0
1	1	Andrés Alejandro Rosenberg Benadretti	"""Because of you I don't know how to let anyone else in"" is one of my all time favorite lines from any song"	Because Of You	1	TRUE	0
202	203	Angel Knight	that was my childhood . and I lived happily ever after holding pain and fear as adult .	Because Of You	1	TRUE	1
92	92	Angela Best	2023 Still one of the greatest songs of all time	Because Of You	1	TRUE	0
27	27	Angela Brown	LOVE this song!! Timeless 	Thinking Out Loud	1	TRUE	0
48	48	Angela Hrabowskie	Such a beautiful song, I love it so. Loving through good and bad times yeah   . Exhausting the possibility of love in a good way. Masterpiece	Thinking Out Loud	1	TRUE	0
57	57	Angela Landestoy	Whoever has been abandoned or mistreated in any way on any kind of relationship knows that this song hit hard into the mind bringing memories that might be will hurt for a lifetime. 	Because Of You	1	TRUE	1
299	302	Angelina Gomez	I remember watching this video a homeless woman in New York a year ago. Seeing this brought tears to my eyes as how much better my life is now and this video is still here. Never give up in life. No condition is permanent	Thinking Out Loud	1	TRUE	1
86	86	Angellah Hussein	This song never gets old	Because Of You	1	TRUE	0
240	243	Angelo Biju	His name tells us all we need to know: LEGEND	All of Me	1	TRUE	0
237	238	Angie Gillman	Such hard memories , this song brings up 	Because Of You	1	TRUE	0
96	96	ani	Funny how this used to be my mom’s favourite song when i was younger and we didn’t speak english. Now i want to SCREAM the lyrics out for her. Especially the second half of the song. Hits too close to home. Ive come to terms that ill never have a family because ill never know how to properly love them.	Because Of You	1	TRUE	1
260	262	Anika Verma	Everything is perfect.. music voice dance background and beautiful girl 	Thinking Out Loud	1	TRUE	0
306	309	Anita Advani	I love when he treats one of her legs like a guitar and pretends to strum it! Cool move! Goes perfectly with the music too!	Thinking Out Loud	1	TRUE	-1
231	234	Anjonrin Olayinka	Who else randomly remember this song? hope someone can feel the same about me soon...... Listening again in 2023	All of Me	1	TRUE	0
241	242	Anne B.	This song always brings me to tears no matter how many times I hear it. I grew up in a extremely abusive and dysfunctional household. Though both parents were present I still suffered a tremendous amount of emtional, mental and physical abuse. I was the youngest child of 9 children, my parents struggled financially to care for us and because my father was the only one that worked there was a lot of arguements over money and bills. My sister and I were abused nearly every day by our older siblings and if not them, my father. Though my mother rarely beat us she was great at mental and emotional abuse and manipulation to such a degree she made me feel guilty for her unhappiness. She shared far too much with me on a personal level... she wanted someone to sympathize with her so I heard it all. But then she would turn on me and blame me for all sorts of things and my father (who was physically abusive as well as mentally and emotionally) would beat me so bad at times I couldn't sit or lie down because of the pain. If I cried I got beat again so I had to suffer in silence. By age 14 I couldn't take it anymore. It was draining me and I felt my sanity slipping away. I left home and never looked back. When I became a parent I told myself I would never treat my children the way I was treated. I wouldn't beat them, or make them feel a single day that they weren't loved and wanted. I eventually forgave my parents and moved on with my life... but they had to live with the guilt of knowing how horrible they made my childhood. I think I'm a much stronger woman and mother than my mother was. Though I ended up marrying a abusive man (as history tends to repeat itself) I managed to pull myself out and up from continuing to live an oppressive life. I'm grateful to God for the strength, knowledge and wisdom that came from my life experiences and that I was able to raise my son and daughter in a much better situation. The cycle can break but you first have to be willing to face your demons, even if they are the people that brought you into this world. Confront them and let them know the suffering they inflicted on you. It may not help them, but it will free you from the hold they have over your life and emotions.	Because Of You	1	TRUE	0
35	35	AnneSoshi	this is the simplest and yet best music video ever.	Another Love	1	TRUE	0
151	151	Annie Stroupe	This right here hits hard I've question myself all the time because of you. Why wasn't my love enough. Why wasn't I enough.	Because Of You	1	TRUE	1
234	235	Anonymous	"Lyrics :

When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And, darling, I will be loving you 'til we're 70
And, baby, my heart could still fall as hard at 23
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Well, me—I fall in love with you every single day
And I just wanna tell you I am

So, honey, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way (mmm...)
I know you will still love me the same

'Cause, honey, your soul could never grow old, it's evergreen
And, baby, your smile's forever in my mind and memory
I'm thinking 'bout how people fall in love in mysterious ways
Maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand

That, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
Thinking out loud
Maybe we found love right where we are (oh, oh)

La, la, la, la, la, la, la, la, lo-ud

So, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh, darling, place your head on my beating heart
I'm thinking out loud
But maybe we found love right where we are
Oh, baby, we found love right where we are
And we found love right where we are."	Thinking Out Loud	1	TRUE	-1
277	281	anshika	Starting 2023 with this masterpiece	All of Me	1	TRUE	0
22	22	Anupama Barve	After so many years still have tears in my eyes while watching this song.. Such a masterpiece...	Because Of You	1	TRUE	1
275	275	anwaritoz	I listen to this song everyday. Somehow it is just exactly what I feel. I'm only 29 but bad luck has always been by my side until last year I collapsed after years of physical and mental abuse. This year I got diagnosed with an incurable muscle disease. I hope to be happy one day. Thank you for writing this song	Another Love	1	TRUE	0
75	75	Anymous	If you’ve grown up in an abusive childhood this song hits you on so many levels	Because Of You	1	TRUE	0
228	231	Aoii Jin	2023 i still love this song	All of Me	1	TRUE	0
232	235	April Andersen	Watching in 2023. I will NEVER except less than this right here...	All of Me	1	TRUE	0
251	252	Aquarius Peters	I listen to this song when my depression is too much, then it make me cry, and after. I feel so much better.....I use to listen to this song with my mother before she passed. It was our song.....it's like she is still here with me when I listen to it.	Because Of You	1	TRUE	1
243	243	arda	*THIS SONG REMİS ME FROM MY PAST DAYS OR A PERFECT SONG I CAN'T EXPRESS MYSELF SO TİME FLOWS SO FAST...*	Another Love	1	TRUE	1
257	258	Arda YILDIRIM	You leave good and valuable works for next generations. I really wonder what people think after 100 years when they listen these musics. Same feeling or same...	Because Of You	1	TRUE	0
272	273	Ariel francis jataas	Since elementary until now I'm still listening this song 	Because Of You	1	TRUE	0
46	46	Armand Holloway	THIS is how you incorporate emotion into your singing. Masterpiece	Because Of You	1	TRUE	0
216	217	ArmaniCoat	who else’s childhood was like this? and looking back you’re just amazed that you pulled through all the hurt even when you thought you wouldn’t.	Because Of You	1	TRUE	1
5	5	Arnold Ramirez	After 5 years this will be the song in my wedding	Thinking Out Loud	1	TRUE	1
138	138	Arshia J	This song makes me want to love more than ever. But it's just not that same anymore	All of Me	1	TRUE	1
92	92	ARt wer. •8 ปีที่ผ่านมา	This song is never gets old	Another Love	1	TRUE	0
1	1	Artis Gritans	Its February 2023, lets see how many legends are listening to this masterpiece	Thinking Out Loud	1	TRUE	0
243	246	Arto Hammarberg Örn	Learning to sing in this great one's musical key. For my wife.	All of Me	1	TRUE	1
277	278	Asayi Vero	Kelly one of my favourite singer..i love a song 	Because Of You	1	TRUE	0
162	162	ashikur rahman	Loved, loving and will love...	All of Me	1	TRUE	0
69	69	Ashley Always Winns	I love this song and video. Ed is so talented 	Thinking Out Loud	1	TRUE	0
123	123	ASHUTOSH SINGH	Is there anyone else like me who has fallen in love with this song?	Another Love	1	TRUE	0
262	263	Asyraf Nukman	I love this song	Because Of You	1	TRUE	0
197	197	Aubree Brigance	Amazing song 	Another Love	1	TRUE	0
287	291	Augusto Amoroso	Beautiful	All of Me	1	TRUE	0
259	259	Aurelia Aurelia	"I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up
And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up
Oh, need a love, now
My heart is thinking of
I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up, up"	Another Love	1	TRUE	1
161	161	Avlasting	2023 still going strong.	All of Me	1	TRUE	0
100	100	avraham namatiyev	if you ever feel stupid, just remember that people disliked this song	Another Love	1	TRUE	0
174	174	Awkward Kiddo	Definitely one of the best song in the entire world. I still got chills listening to it.	Because Of You	1	TRUE	0
0	0	Aww Animals	I can’t believe this song is 7 years old feels like yesterday.	All of Me	1	TRUE	1
139	139	Ayala Cohen	"I’m 16 years old. And I’ve never was a child. This song hits me so hard, I feel like the lyrics was written about me.
Thx Kelly for this beautiful song."	Because Of You	1	TRUE	1
255	255	Ayesha Ibrahim	I discovered this song after 9 years, but I feel so nostalgic when I listen to it. It’s like I have heard this song in another life with someone I was in love with. Gosh. Sigh.	Another Love	1	TRUE	1
277	279	azppmd	Awesome choreography and cinematography!!!	Thinking Out Loud	1	TRUE	1
230	233	B	"I love this. ; — ;"	All of Me	1	TRUE	0
105	105	B K	I love how everyone is suddenly discovering this song and he's finally getting the recognition he deserves	Another Love	1	TRUE	0
277	277	B_waare	This was 13 years ago and it's still on global	Another Love	1	TRUE	0
86	86	B¡@Nc@♓	This is a true masterpiece even ten years later 	Another Love	1	TRUE	0
13	13	B.G. Miller	I’ll never forget the first time I heard this song. It was at the MGM Grand in Las Vegas about 7 years ago. I walked into one of the mens restrooms off of the Casino floor and there was an elderly gentleman working as the restroom attendant. He was singing this song a cappella, really belting it out. He was fantastic! I tipped him a couple of bucks and told him how good I thought he was. I liked it so much I looked the song up when I got home from my trip.	All of Me	1	TRUE	1
32	32	B2	This song makes me feel out of this universe 	Thinking Out Loud	1	TRUE	0
46	46	Babs Phillips	I've never paid attention to all the words. Now that I've watched this video, the words are some of the best I've ever heard...perfection for a love song. I just love this couple, no matter what gossip rags say about Chrissy. She's genuine and John's love for her is pure patience!	All of Me	1	TRUE	0
309	309	badar miqdad	I'm sorry if tiktok ruined your fav songs,but I'm very grateful that tiktok shows me this masterwork as I never heard of this before	Another Love	1	TRUE	0
132	133	Baihay Slamdien	Dis is one of his best songs we love it	Thinking Out Loud	1	TRUE	0
301	304	Bailey Simpson	this is the first song my wife and i danced to when we were 16 and 17 at prom. we just danced to it again at our wedding last month... 7 years flew by so damn fast.	Thinking Out Loud	1	TRUE	1
167	168	BANANA SPLIT TOK	BEST song 	Thinking Out Loud	1	TRUE	0
335	335	banga	I'll always remember 2022 world cup when Argentina won when hearing this song	Another Love	1	TRUE	0
46	46	BANGTAN	This song never gets old,i never get bored.	Another Love	1	TRUE	0
143	143	Bangtanforever	11 years have passed by and if still touches every and single corner of my soul	Another Love	1	TRUE	0
31	31	Barney BPAC	Every time I play this song it's just taking me back to my single life. Always love it.	Thinking Out Loud	1	TRUE	0
14	14	Becci	I love this. I'm an old lady living on my own but this video brings fantasy into my life. Thank you Ed Sheeran and your beautiful dancer for the beautiful moments inside this video.	Thinking Out Loud	1	TRUE	1
168	169	Bee Boo	2023 ...still legend	All of Me	1	TRUE	0
267	267	Benaiah Cr7	Bro the masterpiece of a lifetime	Another Love	1	TRUE	0
175	176	Bernat Coll	2023 and we are all here	All of Me	1	TRUE	0
25	25	Beth Cuz	When you loved this song as a kid and you realise as an adult it’s cause you grew up with a narcissist parent and it hits even deeper now.	Because Of You	1	TRUE	0
216	217	Betty Harris	I simply luv, luv, how he sings this song, Anyways i'm simply in love with him. My hand can be put over his beating heart anytime, C'mon now.	Thinking Out Loud	1	TRUE	1
17	17	Bianca Mudzingwa	Laugh at me lol this is my first time to hear jonh legendI love it man .the song is dope 	All of Me	1	TRUE	0
134	134	Bidhan Chowdhury	I know i am not sad but every time i play this masterpiece it messes with my fellings	Another Love	1	TRUE	0
68	68	Black Erron	This song has aged like a very fine wine , it just gets better every year	All of Me	1	TRUE	1
245	245	blacktothepink	This song gives me chills every time, it’s a masterpiece.	Another Love	1	TRUE	0
316	316	blacktothepink	Today, 9 years later and so many people are still listening to it. This song is a masterpiece.	Another Love	1	TRUE	0
195	196	blueyes	amazing song	Because Of You	1	TRUE	0
301	302	Blyth Malinao	if you're here in 2021, you're a legend	Because Of You	1	TRUE	0
50	50	BMA	Who’s sad and still listening in June 2021, I will NEVER get tired of this masterpiece.	Another Love	1	TRUE	0
53	53	Bookinvest	isn’t it crazy how songs come into your life at the right time?	All of Me	1	TRUE	0
268	272	BoomKaboom	Oh boy I'm in love with this song so much 	All of Me	1	TRUE	0
113	113	Bottle Flip Challenge	Let's be honest, this song is still legendary	All of Me	1	TRUE	0
48	48	Brandi Brown	I love all of Kelly's songs, but I felt this one in my soul. I remember crying and screaming the lyrics after a bad break up, when I was younger. I'll always love this song 	Because Of You	1	TRUE	1
52	52	Brayla Thomas	This song applies to many aspects of my life growing up in a home where I felt completely alone and criticized for everything also the sexual abuse I went through for 4 years of my life this song has gotten me through so much and her voice is also amazing thank you for sharing	Because Of You	1	TRUE	1
192	193	Brenduh	Can't believe she was only 16 when she wrote this. Because of her parents divorce. And her first label laughed when she tried to put it on her first album. Wow! Kelly Clarkson will always be super under rated. She is amazing! Her voice is just WOW! I'm glad she has a talk show now tho! Yey!	Because Of You	1	TRUE	1
189	192	Brian TUT man	This song is perfection	All of Me	1	TRUE	0
90	90	Bris Records	Yes another Masterpiece by John Legend here!	All of Me	1	TRUE	0
56	56	Bris Records	This song has a very powerful story. This is ai masterpiece definitely.	Because Of You	1	TRUE	0
147	147	Brit Michelle	I’m still loving this song in 2023	All of Me	1	TRUE	0
189	190	Brookie Watti	2:57 always been my fav part of this song	Because Of You	1	TRUE	0
33	33	Bun Thorn	My idol 	All of Me	1	TRUE	0
283	287	bunnibugs18	Omg Gott das Lied .so ein Trauriges Lied 	All of Me	1	TRUE	0
267	269	Bunsi Mishriwala	This Song hits different when you're in love...	Thinking Out Loud	1	TRUE	1
180	180	Bwoah	This song takes me to a place that’s hard to describe. It’s a feeling of sorrow, euphoria and a feeling of finally understaning emotions	Another Love	1	TRUE	1
119	119	bYOU.Tfulnailz	“My heart can’t possibly break when it wasn’t even whole to start with” so profound !	Because Of You	1	TRUE	1
211	211	ƁƐHRUƵ	It's been 11 years since this song was released, but it's 2022 and it's very popular. This is my personal opinion	Another Love	1	TRUE	0
29	29	C26 I Putu Gede Ardha Wangsa	"What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh

How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh

Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh"	All of Me	1	TRUE	1
259	263	C9NJRYT	If your watching in 2021 I hope this year is better for everyone and may people rest who have passed in 2020	All of Me	1	TRUE	0
115	115	CABAÑEZ RONALD	13 years ago and im still inlove with this song <3	Because Of You	1	TRUE	0
117	117	Cactus TV	This is legend. I don’t get bored and tired of listening to this song.	Because Of You	1	TRUE	0
249	250	Candace Campbell	I love Kelly Clarkson she is my favorite artist and she is the best Damn one ever i love her songs i have messy life too i am afraid of them because the truth	Because Of You	1	TRUE	1
317	317	Captain Bob	"2012 - Good song
2013 - Good song
2014 - Good song
2015 - Good song
2016 - Good song
2017 - Good song
2018 - Good song
2019 - Good song
2020 - Good song
2021 - Good song
2022 - Now I understand the song
2023 - I’m playing this song at the speaker rn

Edited exactly 12:00 AM January 1"	Another Love	1	TRUE	0
41	41	Caro'Gath	"I can't remember even one time I didn't cry singing this.

""Because of you
I try my hardest just to forget everything
Because of you
I don't know how to let anyone else in
Because of you
I'm ashamed of my life because it's empty
Because of you
I am afraid.""

This last part always gets me. Thank you Dad for building my life like this. :/"	Because Of You	1	TRUE	1
136	136	Carol Musial	A beautiful song . Kelly has a strong beautiful voice . Love this song .	Because Of You	1	TRUE	0
256	257	Carrissa Dickinson	2023 I love this song the dance is amazing	Thinking Out Loud	1	TRUE	0
212	213	Casey Fourmile	RIP Christine. As long as this song makes me cry you will never be forgotten my sista 	Thinking Out Loud	1	TRUE	1
66	66	Casey Fuller	I just lost the love of my life this song kills but heals at the same time 	All of Me	1	TRUE	1
104	104	Caterina Malito	"Honestly, I love this song. 
It just express my feelings."	Another Love	1	TRUE	0
21	21	Cayla Corrigan	The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 	Thinking Out Loud	1	TRUE	1
56	56	Cayla Corrigan	The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 	Thinking Out Loud	1	TRUE	1
265	269	Celestino  Ngangula	2023 And Iam Sing this song	All of Me	1	TRUE	0
75	75	Cesar Castillo	It's not just a song, it's a feeling...	Another Love	1	TRUE	1
96	96	cetin isa sarıtepe	The man made music that will never be erased from history, his voice will never be turned down, I don't understand how he managed it, this song will play like crazy even after 300 years. Even the best songs ever made will remain children next to it.	Another Love	1	TRUE	1
292	295	Cha Rinrat	This song I gave to my boyfriend when first meet, we are married and have a little princess now. I still listen this song 	Thinking Out Loud	1	TRUE	1
95	95	Chantal Candelpoulos	"2020: crying
2021: crying to hard
2021: crying with out feels
2021: crying, it can’t be better"	Another Love	1	TRUE	1
161	162	Charity Kyalo	I love his voice...here in 2023	Thinking Out Loud	1	TRUE	0
52	52	Charles Livuza	It's 2023 and I still love this song so much	Thinking Out Loud	1	TRUE	0
175	175	Charlie Dalton	I love Kelly's and show	Because Of You	1	TRUE	0
192	193	Chatea pc Chatea	My favorite song 	Thinking Out Loud	1	TRUE	0
70	70	Chetan Raikwal	This song never gets old it's evergreen.	Thinking Out Loud	1	TRUE	0
97	97	Cheyenne Parker	"""I'm forced to fake a Smile, a laugh everyday of my life"" reminds me of my life"	Because Of You	1	TRUE	1
83	83	ChocolateMilkMan	This song is 6 years old, the nostalgia is real	All of Me	1	TRUE	0
132	132	CHOI YUNJIN (최윤진)	Omg 2023 and this is still a masterpiece! I love this song so much	All of Me	1	TRUE	0
