,author,comment,origin,origin_status,Unnamed: 0,lang,time_stamps
951,FreakGaming?,"So i hear a kid, hmmm 0:52",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:52']
953,H20DeliriousPW,"0:44 and baby my heart ""..heart"" gave me the chills",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
990,YAE_MIKO,0:44 there's some mysterious little girl sound,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
1132,Mary Boguski,2:46 The most romantic video I’ve ever watched.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:46']
1157,jhÜn_13 ⏳,00:20 will your mouth still remember the taste of milo?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:20']
1186,Nay,2:40 someone say that the back vocal is Harry styles? Um... I think i'm gonna cry,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
1189,NATHAN YT,Ed Sheeran is if you  no heart noise 0:46 second kid 😮,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:46']
1388,LORD FOOTAGE,"YOU DUPLICATED LET’S GET IT ON BY MARVIN GAYE FOR SURE…
YOUR WORDS ARE 3:37 CENTERED AROUND THE LYRICS OF LET’S GET IT ON FR FR 
🤦🏾‍♂️💀❌
YOU LUCKY 🍀 BASTARD 
🖕🏾",Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:37']
1521,BEANGAMING,When the song hits the 1:00 mark it’s 🔥,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:00']
1535,The Nyx Level Play,"Ahh after 6 years, the case just find love 3:27 right where they are",Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:27']
1601,cookies🍪,"2:08 
Its silly but romantic😂❤",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:08']
1617,willem hammersbach,1:26 is the longest I've ever heard a Ed sherran song I can hear slight  rhythimg of let's get it on but that's it. I would have voted for Ed's side.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:26']
1689,musics_my_life,"https://youtu.be/x5ZZvS2gy_I 7:25
You're welcome",Ed_Sheeran-Thinking_Out_Loud,1,,en,['7:25']
1837,SushipOp,"1:20

everybody's sing

Let'sGetItOn...aww yeah
 Le-t's   GetItOn 
 Let Love Baby


Le-t's   GetIt Ohhhn, Shuuuguh",Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:20']
1964,Timothy N. Murphy,"Jury briefly deliberates in Ed Sheeran copyright infringement case before ending for the day …New York(CNN) The jury in the Ed Sheeran copyright infringement case — about whether Sheeran's smash single ""Thinking Out Loud"" copied the classic Marvin Gaye song ""Let's Get It On"" — deliberated for about five minutes Wednesday evening before the judge sent jury members home.
2:32 This is todays news headline he hasn’t won anything .",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:32']
2242,Gary Nelson,"@00:30
Let's get it on
Ah, baby, let's get it on
Let's love, baby
Let's get it on, sugar
Let's get it on.
LOLOLOLLL!! I love both song and congratulations on his victory in court!",Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:30']
2474,Dainichi Nyorai,"Just checked this out after the Marvin Gaye court ruling. Yeah, there are similarities, esp. the crescendo at 2:59 with the vocal melody exactly the same as Marvin, but I'd put it down to 'influence' rather than plagiarism. I think there's enough that is distinctly Ed, rather than Marvin. Wow, it's a good song tho and that girl is fantastic. She makes it look like Ed can dance. I'd like to hear Ed sing Let's get it on, but I don't think that would have done his case much good.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:59']
2647,tonygunz21,"The first time I heard this song, my thoughts were that it sounded just like Let's get it on.  Same drum pattern (at the same tempo), groove, and chord progression.  You can love Ed Sheeran as much as you like, and I think this is a great song, but it blatantly borrowed all of those elements from Marvin Gaye's song.  There's nothing wrong with doing that, so long as you get the appropriate clearance from copying someone else's intellectual property.  To say this isn't is wild.  If you can't hear that you're either deaf or have no concept of music and music theory.  But hey, don't take my word for it.  Go to 4:23 to see what Ed himself thinks https://www.youtube.com/watch?v=RxZjVZKVN7k",Ed_Sheeran-Thinking_Out_Loud,1,,en,['4:23']
2756,humor sorrir bem vida,0:08 susesso 💯💕💕💞💞🙌🏼🙌🏼🙌🏼🙌🏼💋,Ed_Sheeran-Thinking_Out_Loud,1,,et,['0:08']
3191,Beyond the Gates,"Leitmotif at 00:32, is Marvin Gaye’s song ""Let’s Get It On""...",Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:32']
3273,Yolanda Romero,"2:11 You know how hard it is to write music. It is hard to write music. Regardless he wrote his music. Similarities are there. But I see that this song is Beautiful, and well written by an artist with skills. Very creative, and fits the current times now in 2023. All I can say is give credit to the artist for a outstanding entertainment to the public.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:11']
3577,SV Lagonda,1:18 Court case notwithstanding it does sound very similar to Marvin Gaye's Lets Get it On!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:18']
3617,ursula richardson,"I agree that this isn't a case of copyright infringement, but the similar chords to the Marvin Gaye song can be heard best around minute 1:24-1:28.",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['1:24', '1:28']"
3644,Julez,2:34 imagine ya girl is getting you a kick like that,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:34']
4280,flash,0:08 lucky me mine works,Ed_Sheeran-Thinking_Out_Loud,1,,pl,['0:08']
4409,dylan amber,can somebody explain to me Why there's a child voice in this 0:45 second? its creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
4451,Henlo Chan,"So tell me no one notices the little kid's voice in the ""HEART"" part in 0:44 💀💀💀",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
4452,Faith Antrone,Do you hear the creepy kid voice at 0:44?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
4486,Arlene Panopio,0:43 is still creppy😖,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
4499,Seigfred Chavez,"""And baby my heart..(heart)"". 0:43 listen😨",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
4508,John Ellison Jamorabon,"On 0:43 you can heat the baby voice ""And baby, my heart"" sounds creepy but its not.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
4513,Lara Nunes,"É galera ele conquistou meu coração, agr tô aqui vendo o clipe 01:20 da manhã pensando nele 😂🤡 curte aí quem sabe eu volto dizendo q deu certo e animando vcs a não desistir do amor pela maneira que amam 🙏🏻🙏🏻 só fé",Ed_Sheeran-Thinking_Out_Loud,1,,pt,['01:20']
4514,ben,Go ed ed 0:49,Ed_Sheeran-Thinking_Out_Loud,1,,cy,['0:49']
4559,Luigi Iñigo F. Gorospe,0:45 there someone the song him alone to heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
4706,None theless,why is there a child voice at 0:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
4719,arnel josh grico,"Not me still hearing the kid on ""heart"" 0:44 part",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
4730,Nhelz Euqor,"0:44 I remember listening to this part with cousins and w heard the kid voice saying 'heart' and we all ran away from the speaker, we got scared 😂",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
4767,Gamer Geek,0:44 theres a ghost listen 😳,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
4791,Jennon David,0:44 yung batang sumabay,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:44']
4792,Martin Benedict Garcia,0:45 damn may sumabay na bata,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:45']
4798,Jysson Alarma,0:47 baby my heart part please pakinggan ng mabuti,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:47']
4852,breno,0:10 parece o pavão do Kung Fu panda kkkk,Ed_Sheeran-Thinking_Out_Loud,1,,pt,['0:10']
4857,Dionrick Bluewin Genese,0:44 I hear the child voice 😭😭,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
5042,Kem Warren,"0:45 There's a child who says ""heart"" after Ed Sheeran.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
5064,Cindy Wurl,Ed Sheehan I want your body 4:57 ed Sheehan I want your body,Ed_Sheeran-Thinking_Out_Loud,1,,en,['4:57']
5349,Jimmy Brooks,"Let us hear the conclusion of the whole matter: Fear God, and keep his commandments: for this is the whole duty of man.
 For God shall bring every work into judgment, with every secret thing, whether it be good, or whether it be evil.   (Ecclesiastes 12:13-14)
For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)
And the times of this ignorance God winked at; but now commandeth all men every where to repent: (Acts 17:30)",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['12:13', '10:13', '17:30']"
5492,Brenda Thacker,"At work, 2:00am listening to Ed.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:00']
5569,Game siêu khó,2:45 Best Part,Ed_Sheeran-Thinking_Out_Loud,1,,de,['2:45']
5582,Tray K,Music has no gender race nor genre I woke up 4:20am with this particular song stuck in my head don't remember how I knew it but this is my SONG‼️,Ed_Sheeran-Thinking_Out_Loud,1,,en,['4:20']
5607,Alan Deli,"I tell you, Nay: but, except ye repent, ye shall all likewise perish. (Luke 13:5)
Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon. (Isaiah 55:7)
When Jesus heard it, he saith unto them, They that are whole have no need of the physician, but they that are sick: I came not to call the righteous, but sinners to repentance. (Mark 2:17)",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:17']
5834,نجوم الدراما السورية,20/1/2023 freiday 12:30 h pm😊,Ed_Sheeran-Thinking_Out_Loud,1,,cy,['12:30']
5874,Renz The Boss,Paralyzed leg person pov 0:09 : 👁👄👁,Ed_Sheeran-Thinking_Out_Loud,1,,sl,['0:09']
5882,Nathan Jaquez,4:21  who’s here in 2023,Ed_Sheeran-Thinking_Out_Loud,1,,en,['4:21']
6150,breno,1:12 c* dei😳,Ed_Sheeran-Thinking_Out_Loud,1,,ca,['1:12']
6250,My Media Archive ,0:34: Marvin Gaye: Let's Get It On?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:34']
6276,ryan the fun docter,2:55 was the best part,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:55']
6444,Danica Fajardo,Hoy 😭 may nag salita sumabay sa knya Ang Sabi heart dun sa may part Ng 1:30 ata paki check Po 😭,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['1:30']
6464,ReGaBeNov,0:43 listen,Ed_Sheeran-Thinking_Out_Loud,1,,fi,['0:43']
6546,Jayden Garcia,0:41 w rizz,Ed_Sheeran-Thinking_Out_Loud,1,,pl,['0:41']
6552,Yohanes Mahendra,"y'all didn't realize there's a kid singing the ""heart"" part at 0:45",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
6646,T.G_DIVINE_ MLBB,0:45 a little girl sound,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
6657,Edniel Christian Solis,"0:45 ""Heart""  there's a voice of a child 😳",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
6679,debinha roseno,0:31 até 0:61,Ed_Sheeran-Thinking_Out_Loud,1,,fr,"['0:31', '0:61']"
6680,debinha roseno,0:32 até 62,Ed_Sheeran-Thinking_Out_Loud,1,,fr,['0:32']
6738,METANOIA,0:47 ghost,Ed_Sheeran-Thinking_Out_Loud,1,,cy,['0:47']
6805,Freddie Montanez,"I like listening to this song a lot. Because, brings me memories of when we, Bhim and l used listened to it. Back 20015. Bhim B. K, wherever you are, just know, lm thinking about you and that l miss you. I hope you are doing ok. And please bless and protect you. Son. Love you. This song will stay in my heart forever.  12/1/22.6:53am..",Ed_Sheeran-Thinking_Out_Loud,1,,en,['6:53']
6849,Elizabeth Jean,"jesus, i love these lyrics 😍 John 10:27-28",Ed_Sheeran-Thinking_Out_Loud,1,,en,['10:27']
7028,Dennis Rhodes,"0:14 No, No No. Not off -  ove your feet. it is ""off"" only. This Americanism is ruining our language.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:14']
7075,Reyven-Angelie,0:45 a child joined in the song,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
7090,Merk Ian Abarracoso,0:45 ghost😱,Ed_Sheeran-Thinking_Out_Loud,1,,cy,['0:45']
7185,Fox Fubuki,1:26 take me into Lebanon,Ed_Sheeran-Thinking_Out_Loud,1,,id,['1:26']
7187,Spc. Costa A Carlos,Lol look I’m back again and yes I’m still jamming….. 11/5/22 time 12:30pm…. Army Strong HooaH!!!!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['12:30']
7219,Ann Gamboa,Damn 0:45 this part is so scary,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
7242,HaroonGaming YT,"0:53 - 'Baby My Heart' on the word 'heart' there's another person who said it, listen carefully.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:53']
7309,earthgabriel Baylen,0:46-0:49 seconds?,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:46', '0:49']"
7449,Honey Grace Villar,"0:45 what was that???? Someone join in that ""heart"" part",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
7460,VNSKRD,"2022, i still hear the ghost 0:46",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:46']
7491,KYIEEEELAA_PH🏵️,0:41 creepy scary,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:41']
7503,Vi,"0:54 Tango
2:14 Samba
2:32 Ballet",Ed_Sheeran-Thinking_Out_Loud,1,,tl,"['0:54', '2:14', '2:32']"
7580,Shushu Barushu,0:46 may sumabay na bata,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:46']
7610,Cesario Bitas Jr,"0:44 something weird "" the kid say heart too """,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
7630,Savy,0:42 paking-gan nyo ung heart my sumabay sa kanya na bata 😰,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:42']
7712,Jessica Jovina,"0:46 may sumabay sa ""heart""",Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:46']
7738,Random Opinion,"So no one's talk about the little girl saying ""heart"" 0:45",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
7770,bigH,There's a child voice in lyrics heart at 0:45 seconds please notice it,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
7775,Jiem_playz,Im here because of the voice i heard at the 0:46 seconds the voice of a girl,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:46']
7782,Papi Tolol,46:00 its so creppy sound like kids,Ed_Sheeran-Thinking_Out_Loud,1,,en,['46:00']
8052,John 12:48,"Mat 24:30  Then will appear in heaven the sign of the Son of Man, and then all the tribes of the earth will mourn, and they will see the Son of Man coming on the clouds of heaven with power and great glory. 
Mat 24:31  And he will send out his angels with a loud trumpet call, and they will gather his elect from the four winds, from one end of heaven to the other.",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['24:30', '24:31']"
8089,doupte capou,my favorite part 1:48,Ed_Sheeran-Thinking_Out_Loud,1,,fr,['1:48']
8299,Yoshiee,Did you guys heard the : voice of the kid at 0:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
8449,PG GURU,You all deleted my copyright. YouTube is guilty of wiretapping and illegal phone monitoring. It's 1:31am who else is up but me n the coders of YouTube. Hacking Internet firewalls is illegal and very traceable.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:31']
8479,baby face,0:45 (heart) with a child's voice still haunts,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
8509,Risya Mustario,0:45 ada suara anak kecil!!!!!,Ed_Sheeran-Thinking_Out_Loud,1,,id,['0:45']
8529,jj,2:17 that filming was beautiful,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:17']
8578,Hamadah,"Fatoom have ahmed forever ❤️❤️
We will dance together baby 2:54
I love you sweetie 💋",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:54']
8609,AnotherGuy,John 14:21,Ed_Sheeran-Thinking_Out_Loud,1,,de,['14:21']
8752,Jacob Andrew C. Dela Cruz,0:45 when his said heart i heard some other voice like an old lady can anyone here it too?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
8753,Boton Rudjohn,"still listening this song august 16 2022
9:35😍",Ed_Sheeran-Thinking_Out_Loud,1,,en,['9:35']
8938,Celi Ribeiro,Hj 06/08/2022 exatamente às 18:22 brasileirinha curtindo e ouvindo esta bela recordação..tem mais alguém aí da nossa terrinha?,Ed_Sheeran-Thinking_Out_Loud,1,,pt,['18:22']
8943,K Jones,what do you call this move 3:47 heehee,Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:47']
9047,Mustafa Khurram Aziz,0:10 ~the guy in the wheelchair,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:10']
9072,Do A REALITY CHECK What will you REGRET at the END,"Mat 5:21  “You have heard that it was said to those of old, ‘You shall not murder; and whoever murders will be liable to judgment.’ 
Mat 5:22  But I say to you that everyone who is angry with his brother will be liable to judgment; whoever insults his brother will be liable to the council; and whoever says, ‘You fool!’ will be liable to the hell of fire. 
Mat 5:23  So if you are offering your gift at the altar and there remember that your brother has something against you, 
Mat 5:24  leave your gift there before the altar and go. First be reconciled to your brother, and then come and offer your gift. 
Mat 5:25  Come to terms quickly with your accuser while you are going with him to court, lest your accuser hand you over to the judge, and the judge to the guard, and you be put in prison. 
Mat 5:26  Truly, I say to you, you will never get out until you have paid the last penny.",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['5:21', '5:22', '5:23', '5:24', '5:25', '5:26']"
9224,roberth06_ofc,1:52 nesse tempo o povo já usava ''tiktok'' kkkkkkkkkkkk.,Ed_Sheeran-Thinking_Out_Loud,1,,fi,['1:52']
9250,Out_of_Regs,Old girl literally disappeared at 2:30,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:30']
9448,FrozenButter,0:08 when you break your legs,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:08']
9488,SweetGherkinz,0:04 haha,Ed_Sheeran-Thinking_Out_Loud,1,,so,['0:04']
9553,Tata Lbs,00:45 do you hear the voice of a boy that sounds HURT guyss???,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
9667,Aisha Callie,"0:45 there's little boy who sing also the word ""Heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
9721,Kathleen Young,"22:21   Hermosa elección  18KISSX.UNO
los mortales abian apreciado tan mujer hermosa  
🅻🅸🆅🅴
10:11 Hopi:
Sweeter
21:16 Sun:
Hotter
Cooler
Butter cfBY
10:11 Joonie:
22:00 Yoongy :
23:21 Son unos de los mejores conciertos 
mañas no se la 
15:15 
Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ""oh, esto es hermoso"" a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genial. ",Ed_Sheeran-Thinking_Out_Loud,1,,es,"['22:21', '10:11', '21:16', '10:11', '22:00', '23:21', '15:15']"
9855,Mikey kun,Its 11:50pm July1 who's still listening to this masterpiece?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['11:50']
9904,Mary Lopez,"23:21   Hermosa elección XKISSSS.UNO
los mortales abian apreciado tan hermosa mujer 


00:18 Joonie:
Cooler
18:10 Yoongy:
Butter
10:20 Hopi:
Sweeter
11:12 Sun:
Hotter


23:23 Son unos de los mejores conciertos 
mañas no se la or4u


Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ""oh, esto es hermoso"" a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genial...",Ed_Sheeran-Thinking_Out_Loud,1,,es,"['23:21', '00:18', '18:10', '10:20', '11:12', '23:23']"
9930,Paul Villaflor,0:43. HeARtet,Ed_Sheeran-Thinking_Out_Loud,1,,nl,['0:43']
10260,Sean Kristoff Calamba,Who heard a creepy voice 0:43,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
10373,Jessica De Anda,"At 1:32  Ita so good""",Ed_Sheeran-Thinking_Out_Loud,1,,so,['1:32']
10444,Unixque Unixque,0:44 it's too creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
10460,Wyvern Lord,1:25 TAKE ME INTO YOUR FUCKING ARMS,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:25']
10478,RJTV,penampakan di detik 0:45 gaes,Ed_Sheeran-Thinking_Out_Loud,1,,id,['0:45']
10562,SuShiL Ranakoti,"Fun Fact : From 2:40 it's """" Harry Styles"""" Voice in the background...... 🌎",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
10674,Akhand Bharat,0:31 ohh he nailed it,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:31']
10865,Sohan Saha,"0:31 Ed Sheran after he turns 71: *You know the rules, and so do i*",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:31']
11040,chou freestyle,0:46 there's a child that sang,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:46']
11128,Do겸점,2:12always be my favorite part of the choreo,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:12']
11190,Shad,0:20 will your mouth still remember the taste of milo,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:20']
11196,Esinam Bannerman,Here at 11:22pm wondering when my love life would be perfect,Ed_Sheeran-Thinking_Out_Loud,1,,en,['11:22']
11301,redhead,I adore this song but 1:42 hahah I find it a bit weird,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:42']
11319,LawrenceEditzPH,Wear headphones and go to 0:45 you will a creepy faded child voice saying heart  still creeps me out after 8 years,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
11320,Dody Trigustoro,0:45 ghost voice?,Ed_Sheeran-Thinking_Out_Loud,1,,cs,['0:45']
11342,Becca Ross,"23:23   -Hermosa elección-  xkissss.Uno
los mortales abian apreciado -tan hermosa mujer- 


10:10 Hopi: 
Sweeter 
11:12 Sun: 
Hotter 
00:18 Joonie: 
Cooler 
18:00   Yoongy:  
Butter 
23:23 Son unos de los mejoresconciertos mañas no se la 


00:01Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ""oh, esto es hermoso"" a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genial lad6...",Ed_Sheeran-Thinking_Out_Loud,1,,es,"['23:23', '10:10', '11:12', '00:18', '18:00', '23:23', '00:01']"
11360,Cheryl Ward,"Son unos XKISSSS.Uno de los mejoresu conciertos Mañas no 4 se l 💯💞😍
-hermosa, amor, elecciones, culturales-. 💓


Son unos de los mejores conciertos.


00:18 Joonie:
Cooler
18:00 Yoongy:
10:10 Hopi:
11:11 Sun:
Sweeter
Hotter
Butter
23:21 Son unos de los mejores conciertos 3icG
mañas no se la 


Las elecciones cinematográficas y artísticas son brillantes qxmg. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. 
No puedo dejar de decir ''oh, esto es hermoso'' a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genial..",Ed_Sheeran-Thinking_Out_Loud,1,,es,"['00:18', '18:00', '10:10', '11:11', '23:21']"
11458,JASSON Hablo,[And baby my heart could still fall as hard at 23] 00:45 you hear a child in heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
11478,Lazuli,if you listen carefully in 0:44 you hear a child voice saying heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
11485,Sawyer Nixon,"🧑‍🦱: And baby my

👦: Heart

0:43",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
11587,Prinssei,0:45 Heart👻,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
11600,نونة,"I love you I hope someday we write another comment together ❤ 
3:17",Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:17']
11715,Yuu Naam,2:09 😍 dammmn.,Ed_Sheeran-Thinking_Out_Loud,1,,sv,['2:09']
11777,OINKY Tv,0:42 heart part creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:42']
11803,Nvr3nd_covers,Random girl on a wheelchair listenin to this at 0:09,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:09']
11950,Tonjiro,"2nd April 2022.
9:44pm
ಥ‿ಥ",Ed_Sheeran-Thinking_Out_Loud,1,,en,['9:44']
11976,Jettttt difff,listen 0:45 creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
12230,Ellen Hill,"Felicidades, es un buen ejemplo. 
250 sentadillas son unos LIKEEX.Uno muchas y un buen ejercicio.
5:25 Se deja ver que hay muy buenos resultados 😍👍 


Saludos desde la Cd.. de world xdcn 🌹😉💖 
los mortales abian apreciado tan hermosa mujer",Ed_Sheeran-Thinking_Out_Loud,1,,es,['5:25']
12330,Molly Watson,"21:12 Son unos de los Match.Likeex.UnO


11:41 Sun: ''Hotter''
12:40 Hopi: ''Sweeter''
37:45 Yoongi: ''Butter''
13:12 Joonie: ''Cooler''


23:40 Son unos de los mejores conciertos ,
31:24 Belleza doops


hay nomas pa ra reirse un rato y no estar triste y estresado por la vida dura que se vive hoy... 🖤
, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente...''
Son unos de los mejores conciertos, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente augr  ⬇
los  mortales abian apreciado tan hermosa mujer  .",Ed_Sheeran-Thinking_Out_Loud,1,,es,"['21:12', '11:41', '12:40', '37:45', '13:12', '23:40', '31:24']"
